"t","x","y","z"
8.650354167E-1,8.053090423E-2,-9.348046966E-3,3.680295125E-2
8.751114167E-1,6.807477027E-2,-9.025804698E-3,3.534699976E-2
8.851874167E-1,6.462770700E-2,-5.547933746E-3,3.203405812E-2
8.952644167E-1,5.951257050E-2,3.692169674E-3,3.395712376E-2
9.053404167E-1,6.025644392E-2,1.916525327E-2,3.611905873E-2
9.154164167E-1,6.077709794E-2,2.702956833E-2,3.734970465E-2
9.254934167E-1,6.306184083E-2,2.927891910E-2,4.278724641E-2
9.355694167E-1,6.016671658E-2,3.228456154E-2,4.783633351E-2
9.456454167E-1,6.169288233E-2,3.447301313E-2,4.861541465E-2
9.557224167E-1,6.912682950E-2,4.374001548E-2,5.088096485E-2
9.657984167E-1,7.570514828E-2,5.121748894E-2,5.077920854E-2
9.758744167E-1,8.310154080E-2,5.801094696E-2,4.762735963E-2
9.859514167E-1,8.217538148E-2,6.602562219E-2,4.203034192E-2
9.960274167E-1,7.641043514E-2,6.138586253E-2,3.888967633E-2
1.006103417E0,6.974969804E-2,5.680696294E-2,2.839644998E-2
1.016180417E0,6.013594940E-2,5.775718018E-2,2.310927957E-2
1.026256417E0,5.093786120E-2,5.470656976E-2,1.503507234E-2
1.036332417E0,4.387862235E-2,4.778821021E-2,6.058088038E-3
1.046409417E0,2.793668583E-2,2.982006595E-2,-1.312629785E-3
1.056485417E0,7.752319798E-3,1.529412065E-2,-7.774523459E-3
1.066561417E0,-1.326138992E-2,-3.304678481E-3,-1.490228157E-2
1.076637417E0,-3.193467855E-2,-1.372083370E-2,-2.215326950E-2
1.086714417E0,-5.112068355E-2,-2.419030853E-2,-2.845892869E-2
1.096790417E0,-6.383434683E-2,-3.016670793E-2,-3.842128068E-2
1.106866417E0,-7.512316108E-2,-3.133045509E-2,-4.467908293E-2
1.116943417E0,-7.987024635E-2,-3.298454359E-2,-4.990394413E-2
1.127019417E0,-8.699284494E-2,-3.110793605E-2,-5.346542597E-2
1.137095417E0,-8.968663216E-2,-3.161393851E-2,-5.615841597E-2
1.147172417E0,-8.686535805E-2,-2.300866321E-2,-5.783758685E-2
1.157248417E0,-8.569596708E-2,-2.037639543E-2,-5.530492216E-2
1.167324417E0,-7.918201387E-2,-1.737689786E-2,-5.540616438E-2
1.177401417E0,-7.341973484E-2,-1.695957966E-2,-5.225724354E-2
1.187477417E0,-7.175509632E-2,-1.526724361E-2,-4.695462435E-2
1.197553417E0,-6.615925580E-2,-9.499901906E-3,-4.293990880E-2
1.207630417E0,-5.886651948E-2,-3.646062687E-3,-3.820063174E-2
1.217706417E0,-4.868685082E-2,4.694268864E-5,-3.210785612E-2
1.227782417E0,-4.677196965E-2,-1.601197291E-3,-3.061435744E-2
1.237859417E0,-4.034975544E-2,-1.226756838E-3,-2.606274933E-2
1.247935417E0,-2.424881794E-2,4.579999484E-3,-1.251098886E-2
1.258011417E0,-1.515705138E-2,1.026451681E-2,-8.301862516E-3
1.268088417E0,-7.095941342E-3,1.581780054E-2,-1.617175527E-3
1.278164417E0,-3.696150146E-3,1.657547057E-2,-2.796689514E-3
1.288240417E0,1.063317526E-3,1.438177656E-2,-1.647830941E-3
1.298317417E0,-2.246459015E-3,8.832281455E-3,-3.340269672E-3
1.308393417E0,-1.004903484E-2,6.637187675E-3,-5.239879712E-3
1.318469417E0,-6.746182218E-3,1.423783484E-3,-3.669680096E-3
